order_id,amount,date
ORD00386,23869.0,2026-07-31
ORD00243,1319.0,2026-08-21
ORD00601,28105.0,2026-06-02
ORD00580,41640.0,2026-07-26
ORD00476,4059.0,2026-08-23
ORD00466,1059.0,2026-06-12
ORD00215,43259.0,2026-06-03
ORD00590,5655.0,2026-07-30
ORD00117,5045.0,2026-07-01
ORD00635,12319.0,2026-08-13
ORD00149,929.0,2026-08-24
ORD00024,4660.0,2026-07-16
ORD00648,30540.0,2026-06-01
ORD00237,1020.0,2026-06-04
ORD00102,289.0,2026-07-17
ORD00067,459.0,2026-06-21
ORD00437,3769.0,2026-06-09
ORD00359,17695.0,2026-07-02
ORD00225,36225.0,2026-07-20
ORD00089,979.0,2026-07-23
ORD00060,2865.0,2026-08-03
ORD00572,9260.0,2026-07-04
ORD00489,7919.0,2026-06-04
ORD00529,4395.0,2026-07-12
ORD00042,1860.0,2026-06-16
ORD00433,1729.0,2026-06-21
ORD00460,13895.0,2026-08-08
ORD00093,4095.0,2026-08-09
ORD00248,1895.0,2026-08-22
ORD00642,4135.0,2026-06-16
ORD00534,1890.0,2026-07-12
ORD00014,1019.0,2026-08-20
ORD00208,360.0,2026-08-10
ORD00521,1760.0,2026-07-23
ORD00464,509.0,2026-07-21
ORD00161,5250.0,2026-07-29
ORD00552,26240.0,2026-07-05
ORD00341,1999.0,2026-07-24
ORD00393,8879.0,2026-08-18
ORD00070,42665.0,2026-08-05
ORD00061,1875.0,2026-06-12
ORD00274,35325.0,2026-08-10
ORD00120,630.0,2026-07-13
ORD00492,1215.0,2026-08-21
ORD00086,349.0,2026-06-12
ORD00048,1165.0,2026-07-07
ORD00435,7250.0,2026-08-18
ORD00517,295.0,2026-07-07
ORD00610,8505.0,2026-08-02
ORD00442,15550.0,2026-07-11
ORD00523,34669.0,2026-07-10
ORD00598,1865.0,2026-06-11
ORD00083,5859.0,2026-07-21
ORD00400,1760.0,2026-06-24
ORD00361,4329.0,2026-08-23
ORD00133,45945.0,2026-07-19
ORD00513,12329.0,2026-08-23
ORD00260,4015.0,2026-06-10
ORD00625,2160.0,2026-08-22
ORD00108,235.0,2026-07-18
ORD00567,10129.0,2026-07-21
ORD00547,619.0,2026-08-09
ORD00619,40425.0,2026-08-21
ORD00456,1745.0,2026-07-04
ORD00182,26245.0,2026-07-27
ORD00035,6300.0,2026-06-25
ORD00347,6275.0,2026-07-06
ORD00403,1815.0,2026-07-23
ORD00503,39719.0,2026-06-08
ORD00342,699.0,2026-06-05
ORD00604,1759.0,2026-06-13
ORD00587,21205.0,2026-06-11
ORD00354,5180.0,2026-07-13
ORD00431,859.0,2026-06-15
ORD00001,3805.0,2026-06-04
ORD00018,33745.0,2026-06-20
ORD00308,565.0,2026-08-03
ORD00350,34985.0,2026-07-24
ORD00409,7050.0,2026-06-18
ORD00290,1649.0,2026-07-12
ORD00242,30945.0,2026-06-09
ORD00196,4989.0,2026-07-07
ORD00198,7565.0,2026-07-07
ORD00186,785.0,2026-06-11
ORD00568,1940.0,2026-08-17
ORD00066,9609.0,2026-08-02
ORD00012,1445.0,2026-06-14
ORD00135,17509.0,2026-08-10
ORD00334,2490.0,2026-07-07
ORD00395,1805.0,2026-08-10
ORD00644,22750.0,2026-07-19
ORD00377,28005.0,2026-06-03
ORD00263,34289.0,2026-06-14
ORD00112,40435.0,2026-08-23
ORD00519,29929.0,2026-07-02
ORD00440,35720.0,2026-07-15
ORD00286,1499.0,2026-07-02
ORD00537,1735.0,2026-06-14
ORD00602,48515.0,2026-06-15
ORD00256,7409.0,2026-06-06
ORD00499,779.0,2026-06-27
ORD00615,3309.0,2026-08-04
ORD00330,39940.0,2026-08-11
ORD00475,4470.0,2026-08-23
ORD00050,48650.0,2026-07-25
ORD00372,1885.0,2026-06-18
ORD00540,730.0,2026-06-26
ORD00269,1149.0,2026-07-16
ORD00136,5705.0,2026-07-29
ORD00508,47790.0,2026-08-03
ORD00294,4445.0,2026-06-27
ORD00645,1280.0,2026-06-18
ORD00524,415.0,2026-08-02
ORD00302,1579.0,2026-06-30
ORD00592,32535.0,2026-08-15
ORD00121,700.0,2026-08-10
ORD00160,25089.0,2026-08-25
ORD00638,21149.0,2026-06-24
ORD00278,18985.0,2026-07-31
ORD00173,46999.0,2026-08-19
ORD00593,35375.0,2026-08-08
ORD00449,5359.0,2026-07-27
ORD00501,8259.0,2026-07-26
ORD00561,1935.0,2026-08-24
ORD00623,300.0,2026-08-22
ORD00063,2015.0,2026-06-07
ORD00569,6630.0,2026-07-13
ORD00353,6619.0,2026-08-07
ORD00387,28379.0,2026-08-24
ORD00430,1195.0,2026-07-28
ORD00356,34729.0,2026-08-17
ORD00374,1249.0,2026-08-21
ORD00336,9510.0,2026-08-24
ORD00091,35079.0,2026-07-01
ORD00579,1705.0,2026-08-16
ORD00030,46275.0,2026-07-25
ORD00428,410.0,2026-06-19
ORD00352,8969.0,2026-06-19
ORD00319,6699.0,2026-07-17
ORD00384,10620.0,2026-06-11
ORD00426,5069.0,2026-08-15
ORD00307,1779.0,2026-06-05
ORD00511,670.0,2026-06-02
ORD00262,30485.0,2026-07-15
ORD00104,8449.0,2026-08-04
ORD00560,48440.0,2026-06-15
ORD00441,40010.0,2026-07-09
ORD00448,35169.0,2026-08-23
ORD00081,9120.0,2026-08-07
ORD00617,590.0,2026-06-05
ORD00375,41675.0,2026-06-03
ORD00004,5510.0,2026-06-07
ORD00379,22589.0,2026-07-03
ORD00010,1920.0,2026-07-31
ORD00576,41429.0,2026-06-29
ORD00180,41170.0,2026-06-08
ORD00346,49185.0,2026-07-01
ORD00376,6360.0,2026-06-03
ORD00397,1835.0,2026-06-20
ORD00315,9019.0,2026-07-12
ORD00324,1599.0,2026-07-28
ORD00306,9905.0,2026-08-22
ORD00166,5579.0,2026-06-11
ORD00041,47829.0,2026-06-07
ORD00249,5820.0,2026-08-10
ORD00006,9215.0,2026-07-03
ORD00410,2069.0,2026-07-19
ORD00496,340.0,2026-06-08
ORD00039,2105.0,2026-08-01
ORD00261,2495.0,2026-08-01
ORD00224,7370.0,2026-07-18
ORD00542,21015.0,2026-07-21
ORD00174,865.0,2026-06-09
ORD00163,7240.0,2026-07-22
ORD00068,10905.0,2026-06-12
ORD00125,25595.0,2026-06-03
ORD00040,9915.0,2026-06-15
ORD00434,6590.0,2026-07-22
ORD00532,4945.0,2026-07-30
ORD00305,7359.0,2026-06-26
ORD00148,27915.0,2026-07-14
ORD00380,755.0,2026-07-22
ORD00427,6100.0,2026-08-01
ORD00458,48535.0,2026-08-18
ORD00366,3250.0,2026-07-19
ORD00484,33020.0,2026-08-20
ORD00032,750.0,2026-06-25
ORD00351,3220.0,2026-08-08
ORD00219,32190.0,2026-07-30
ORD00096,1955.0,2026-08-13
ORD00312,1165.0,2026-06-21
ORD00595,35870.0,2026-08-04
ORD00188,1639.0,2026-06-11
ORD00246,40630.0,2026-08-18
ORD00147,1589.0,2026-08-24
ORD00360,6950.0,2026-08-10
ORD00075,1395.0,2026-08-08
ORD00446,3370.0,2026-06-24
ORD00371,13850.0,2026-06-10
ORD00062,845.0,2026-08-05
ORD00202,8255.0,2026-08-05
ORD00275,770.0,2026-07-21
ORD00077,22360.0,2026-08-13
ORD00422,26279.0,2026-07-16
ORD00362,4539.0,2026-08-03
ORD00187,7445.0,2026-08-23
ORD00335,3115.0,2026-07-28
ORD00069,8890.0,2026-08-22
ORD00398,20115.0,2026-07-11
ORD00588,2955.0,2026-08-02
ORD00119,3550.0,2026-08-24
ORD00005,4685.0,2026-07-14
ORD00017,4805.0,2026-06-14
ORD00512,2385.0,2026-06-20
ORD00536,735.0,2026-07-28
ORD00329,9360.0,2026-07-29
ORD00020,9535.0,2026-07-26
ORD00522,3919.0,2026-06-02
ORD00201,1999.0,2026-08-06
ORD00544,3765.0,2026-07-28
ORD00618,33620.0,2026-07-06
ORD00118,45685.0,2026-06-08
ORD00424,1830.0,2026-07-04
ORD00079,9489.0,2026-08-23
ORD00057,27660.0,2026-06-23
ORD00058,6250.0,2026-08-14
ORD00181,32510.0,2026-08-04
ORD00447,5690.0,2026-08-02
ORD00043,24795.0,2026-07-28
ORD00122,9120.0,2026-08-16
ORD00641,389.0,2026-07-10
ORD00082,2129.0,2026-06-20
ORD00134,6359.0,2026-08-17
ORD00454,1899.0,2026-07-27
ORD00234,25475.0,2026-07-17
ORD00300,46835.0,2026-06-18
ORD00531,5685.0,2026-06-16
ORD00162,30525.0,2026-08-13
ORD00411,38229.0,2026-06-18
ORD00363,2810.0,2026-07-18
ORD00258,27340.0,2026-08-13
ORD00193,45379.0,2026-06-05
ORD00612,8349.0,2026-07-24
ORD00420,37410.0,2026-07-17
ORD00577,8550.0,2026-07-11
ORD00481,2580.0,2026-06-14
ORD00539,34409.0,2026-08-22
ORD00605,6395.0,2026-07-20
ORD00541,3060.0,2026-06-06
ORD00340,715.0,2026-06-25
ORD00105,8805.0,2026-07-08
ORD00497,7845.0,2026-07-22
ORD00251,1905.0,2026-06-22
ORD00450,15420.0,2026-06-29
ORD00190,37755.0,2026-06-03
ORD00140,18530.0,2026-08-15
ORD00158,220.0,2026-07-03
ORD00429,4560.0,2026-08-06
ORD00624,7559.0,2026-07-23
ORD00473,290.0,2026-06-21
ORD00103,3085.0,2026-07-24
ORD00053,40725.0,2026-07-22
ORD00408,26169.0,2026-08-03
ORD00494,9055.0,2026-08-09
ORD00098,7390.0,2026-08-12
ORD00338,1280.0,2026-07-09
ORD00129,2365.0,2026-08-22
ORD00510,16749.0,2026-06-15
ORD00111,879.0,2026-06-09
ORD00468,1209.0,2026-06-12
ORD00381,25940.0,2026-07-09
ORD00287,260.0,2026-07-27
ORD00439,5759.0,2026-08-02
ORD00143,1439.0,2026-08-04
ORD00525,19335.0,2026-06-12
ORD00007,1919.0,2026-08-09
ORD00268,9200.0,2026-06-12
ORD00500,3275.0,2026-08-15
ORD00238,42705.0,2026-08-11
ORD00365,46269.0,2026-07-24
ORD00059,5855.0,2026-07-12
ORD00233,49825.0,2026-06-05
ORD00594,41120.0,2026-07-31
ORD00622,8810.0,2026-07-20
ORD00204,5409.0,2026-07-18
ORD00412,9765.0,2026-06-23
ORD00285,2420.0,2026-08-07
ORD00603,19719.0,2026-08-14
ORD00003,46990.0,2026-06-11
ORD00313,26860.0,2026-06-02
ORD00218,16799.0,2026-07-13
ORD00047,2029.0,2026-08-16
ORD00226,9989.0,2026-08-03
ORD00019,44195.0,2026-08-18
ORD00169,435.0,2026-07-15
ORD00488,719.0,2026-08-16
ORD00293,27325.0,2026-06-25
ORD00445,45229.0,2026-06-23
ORD00485,36989.0,2026-07-27
ORD00474,1139.0,2026-06-17
ORD00284,11755.0,2026-07-04
ORD00571,15819.0,2026-08-21
ORD00383,5329.0,2026-07-31
ORD00094,32655.0,2026-08-21
ORD00214,15615.0,2026-06-09
ORD00259,7069.0,2026-08-09
ORD00292,4809.0,2026-08-22
ORD00369,1719.0,2026-07-16
ORD00107,8590.0,2026-07-21
ORD00116,7369.0,2026-07-23
ORD00423,12909.0,2026-08-22
ORD00502,1690.0,2026-06-12
ORD00355,16069.0,2026-06-25
ORD00037,6380.0,2026-06-07
ORD00396,48405.0,2026-06-11
ORD00205,3840.0,2026-08-23
ORD00245,685.0,2026-08-10
ORD00222,30325.0,2026-08-09
ORD00247,41375.0,2026-07-23
ORD00405,1605.0,2026-07-09
ORD00444,6189.0,2026-06-18
ORD00250,1515.0,2026-08-04
ORD00123,209.0,2026-07-03
ORD00554,930.0,2026-08-15
ORD00165,1905.0,2026-06-14
ORD00556,42265.0,2026-06-23
ORD00528,1509.0,2026-08-12
ORD00538,450.0,2026-06-26
ORD00240,1450.0,2026-06-18
ORD00483,349.0,2026-08-23
ORD00401,46509.0,2026-07-23
ORD00296,9650.0,2026-08-13
ORD00550,30900.0,2026-06-04
ORD00071,4245.0,2026-07-02
ORD00378,1230.0,2026-06-13
ORD00348,48780.0,2026-08-20
ORD00099,13219.0,2026-08-03
ORD00364,13000.0,2026-06-19
ORD00599,23230.0,2026-08-16
ORD00031,6519.0,2026-07-29
ORD00443,440.0,2026-07-18
ORD00128,6869.0,2026-06-29
ORD00546,2720.0,2026-07-24
ORD00002,36500.0,2026-07-30
ORD00637,41185.0,2026-08-04
ORD00028,1125.0,2026-06-29
ORD00090,1600.0,2026-06-11
ORD00309,580.0,2026-07-09
ORD00074,28545.0,2026-08-15
ORD00185,315.0,2026-06-13
ORD00172,3459.0,2026-08-14
ORD00418,20105.0,2026-07-19
ORD00608,31720.0,2026-06-07
ORD00628,44125.0,2026-08-14
ORD00389,20650.0,2026-08-12
ORD00092,1220.0,2026-07-30
ORD00527,15560.0,2026-08-04
ORD00632,19820.0,2026-06-08
ORD00126,569.0,2026-07-24
ORD00630,1605.0,2026-07-06
ORD00316,380.0,2026-08-01
ORD00013,30449.0,2026-07-19
ORD00564,1209.0,2026-08-11
ORD00407,5450.0,2026-07-17
ORD00650,1209.0,2026-07-26
ORD00570,2645.0,2026-06-22
ORD00239,27065.0,2026-06-28
ORD00115,7499.0,2026-06-20
ORD00520,5020.0,2026-08-09
ORD00310,6945.0,2026-07-29
ORD00144,520.0,2026-07-15
ORD00436,5685.0,2026-06-01
ORD00015,29769.0,2026-06-16
ORD00613,1445.0,2026-06-28
ORD00055,38315.0,2026-08-17
ORD00209,6990.0,2026-07-07
ORD00345,499.0,2026-08-13
ORD00132,1445.0,2026-08-19
ORD00175,5629.0,2026-06-08
ORD00620,42035.0,2026-06-23
ORD00192,665.0,2026-06-13
ORD00271,28730.0,2026-06-14
ORD00415,619.0,2026-08-10
ORD00124,17200.0,2026-06-17
ORD00139,345.0,2026-06-13
ORD00596,43879.0,2026-08-19
ORD00052,1890.0,2026-07-10
ORD00221,280.0,2026-06-06
ORD00113,1040.0,2026-07-09
ORD00266,9899.0,2026-07-11
ORD00518,385.0,2026-06-26
ORD00273,305.0,2026-08-10
ORD00343,1589.0,2026-06-06
ORD00257,1890.0,2026-08-22
ORD00183,1275.0,2026-07-18
ORD00106,1850.0,2026-06-29
ORD00301,420.0,2026-06-07
ORD00640,1689.0,2026-07-13
ORD00482,4570.0,2026-07-19
ORD00241,1959.0,2026-07-27
ORD00231,33105.0,2026-07-06
ORD00154,41835.0,2026-07-24
ORD00327,3239.0,2026-07-27
ORD00206,890.0,2026-07-07
ORD00465,47845.0,2026-08-20
ORD00295,7785.0,2026-07-15
ORD00151,5085.0,2026-06-21
ORD00487,7985.0,2026-07-11
ORD00164,249.0,2026-07-29
ORD00168,889.0,2026-08-21
ORD00416,3729.0,2026-06-09
ORD00207,19105.0,2026-07-28
ORD00189,1349.0,2026-08-07
ORD00461,785.0,2026-07-08
