payment_id,order_id,amount,status,date
PAY00038,ORD00038,18285.0,Failed,2026-06-14
PAY00441,ORD00441,40010.0,Captured,2026-07-09
PAY00398,ORD00398,20115.0,Captured,2026-07-11
PAY00345,ORD00345,499.0,Captured,2026-08-13
PAY00249,ORD00249,5820.0,Captured,2026-08-10
PAY00177,ORD00177,2470.0,Captured,2026-08-22
PAY00396,ORD00396,48405.0,Captured,2026-06-11
PAY00453,ORD00453,1255.0,Captured,2026-08-09
PAY00159,ORD00159,795.0,Captured,2026-07-26
PAY00090,ORD00090,1600.0,Captured,2026-06-11
PAY00002,ORD00002,36500.0,Captured,2026-07-30
PAY00582,ORD00582,415.0,Captured,2026-08-10
PAY00166,ORD00166,5579.0,Captured,2026-06-11
PAY00142,ORD00142,37720.0,Captured,2026-07-07
PAY00276,ORD00276,32225.0,Captured,2026-06-19
PAY00509,ORD00509,315.0,Captured,2026-06-21
PAY00609,ORD00609,5890.0,Captured,2026-07-14
PAY00557,ORD00557,1200.0,Captured,2026-08-17
PAY00322,ORD00322,39829.0,Captured,2026-07-18
PAY00460,ORD00460,13895.0,Captured,2026-08-08
PAY00468,ORD00468,1209.0,Captured,2026-06-12
PAY00206,ORD00206,890.0,Captured,2026-07-07
PAY00641,ORD00641,389.0,Captured,2026-07-10
PAY00031,ORD00031,6519.0,Captured,2026-07-29
PAY00570,ORD00570,2645.0,Captured,2026-06-22
PAY00560,ORD00560,48440.0,Failed,2026-06-15
PAY00516,ORD00516,1580.0,Failed,2026-08-06
PAY00250,ORD00250,1515.0,Captured,2026-08-04
PAY00210,ORD00210,690.0,Captured,2026-07-24
PAY00056,ORD00056,25009.0,Captured,2026-08-15
PAY00081,ORD00081,9120.0,Captured,2026-08-07
PAY00295,ORD00295,7785.0,Captured,2026-07-15
PAY00334,ORD00334,2490.0,Captured,2026-07-07
PAY00351,ORD00351,3220.0,Captured,2026-08-08
PAY00193,ORD00193,45379.0,Captured,2026-06-05
PAY00110,ORD00110,2890.0,Captured,2026-08-19
PAY00023,ORD00023,7470.0,Captured,2026-08-03
PAY00162,ORD00162,30525.0,Captured,2026-08-13
PAY00019,ORD00019,44195.0,Captured,2026-08-18
PAY00330,ORD00330,39940.0,Captured,2026-08-11
PAY00439,ORD00439,5759.0,Captured,2026-08-02
PAY00512,ORD00512,2385.0,Captured,2026-06-20
PAY00436,ORD00436,5685.0,Captured,2026-06-01
PAY00313,ORD00313,26860.0,Captured,2026-06-02
PAY00305,ORD00305,7359.0,Captured,2026-06-26
PAY00394,ORD00394,1019.0,Failed,2026-07-05
PAY00069,ORD00069,8890.0,Captured,2026-08-22
PAY00068,ORD00068,10905.0,Captured,2026-06-12
PAY00341,ORD00341,1999.0,Captured,2026-07-24
PAY00616,ORD00616,44360.0,Captured,2026-06-23
PAY00301,ORD00301,420.0,Captured,2026-06-07
PAY00323,ORD00323,45230.0,Captured,2026-07-02
PAY00607,ORD00607,559.0,Captured,2026-08-17
PAY00268,ORD00268,9200.0,Captured,2026-06-12
PAY00339,ORD00339,7529.0,Captured,2026-07-19
PAY00445,ORD00445,45229.0,Captured,2026-06-23
PAY00085,ORD00085,41980.0,Captured,2026-08-19
PAY00466,ORD00466,1059.0,Captured,2026-06-12
PAY00332,ORD00332,10200.0,Captured,2026-08-14
PAY00597,ORD00597,500.0,Captured,2026-06-28
PAY00459,ORD00459,20880.0,Captured,2026-06-27
PAY00567,ORD00567,10129.0,Captured,2026-07-21
PAY00524,ORD00524,415.0,Captured,2026-08-02
PAY00129,ORD00129,2365.0,Captured,2026-08-22
PAY00184,ORD00184,5179.0,Captured,2026-08-16
PAY00504,ORD00504,1560.0,Captured,2026-06-18
PAY00130,ORD00130,5929.0,Captured,2026-06-14
PAY00194,ORD00194,18595.0,Captured,2026-06-20
PAY00227,ORD00227,9570.0,Captured,2026-07-25
PAY00181,ORD00181,32510.0,Captured,2026-08-04
PAY00312,ORD00312,1165.0,Captured,2026-06-21
PAY00109,ORD00109,27185.0,Failed,2026-08-21
PAY00289,ORD00289,40919.0,Captured,2026-06-08
PAY00569,ORD00569,6630.0,Captured,2026-07-13
PAY00356,ORD00356,34729.0,Captured,2026-08-17
PAY00252,ORD00252,9669.0,Captured,2026-07-07
PAY00108,ORD00108,235.0,Captured,2026-07-18
PAY00131,ORD00131,1200.0,Captured,2026-07-12
PAY00552,ORD00552,26240.0,Captured,2026-07-05
PAY00480,ORD00480,225.0,Captured,2026-06-17
PAY00033,ORD00033,45120.0,Captured,2026-06-25
PAY00173,ORD00173,46999.0,Captured,2026-08-19
PAY00143,ORD00143,1439.0,Captured,2026-08-04
PAY00473,ORD00473,290.0,Captured,2026-06-21
PAY00296,ORD00296,9650.0,Captured,2026-08-13
PAY00587,ORD00587,21205.0,Captured,2026-06-11
PAY00370,ORD00370,3150.0,Captured,2026-08-09
PAY00476,ORD00476,4059.0,Captured,2026-08-23
PAY00017,ORD00017,4805.0,Captured,2026-06-14
PAY00403,ORD00403,1815.0,Captured,2026-07-23
PAY00493,ORD00493,1425.0,Captured,2026-07-11
PAY00429,ORD00429,4560.0,Captured,2026-08-06
PAY00011,ORD00011,1575.0,Captured,2026-07-03
PAY00281,ORD00281,29615.0,Captured,2026-08-04
PAY00623,ORD00623,300.0,Captured,2026-08-22
PAY00063,ORD00063,2015.0,Captured,2026-06-07
PAY00505,ORD00505,3349.0,Captured,2026-08-06
PAY00513,ORD00513,12329.0,Captured,2026-08-23
PAY00014,ORD00014,1019.0,Captured,2026-08-20
PAY00224,ORD00224,7370.0,Captured,2026-07-18
PAY00266,ORD00266,9899.0,Captured,2026-07-11
PAY00577,ORD00577,8550.0,Captured,2026-07-11
PAY00331,ORD00331,30200.0,Captured,2026-07-21
PAY00041,ORD00041,47829.0,Captured,2026-06-07
PAY00153,ORD00153,20320.0,Captured,2026-06-11
PAY00066,ORD00066,9609.0,Captured,2026-08-02
PAY00523,ORD00523,34669.0,Failed,2026-07-10
PAY00073,ORD00073,2575.0,Captured,2026-08-04
PAY00602,ORD00602,48515.0,Captured,2026-06-15
PAY00364,ORD00364,13000.0,Captured,2026-06-19
PAY00285,ORD00285,2420.0,Captured,2026-08-07
PAY00600,ORD00600,735.0,Captured,2026-08-11
