settlement_id,payment_id,amount_received,date
SET00418,PAY00479,14212.08,2026-08-06
SET00502,PAY00580,40807.2,2026-07-26
SET00305,PAY00341,0.0,2026-07-24
SET00273,PAY00306,9706.9,2026-08-23
SET00319,PAY00357,35661.47,2026-08-14
SET00353,PAY00397,1798.3,2026-06-20
SET00049,PAY00052,0.0,2026-07-12
SET00348,PAY00391,18795.42,2026-06-14
SET00145,PAY00163,7095.2,2026-07-22
SET00526,PAY00607,0.0,2026-08-20
SET00062,PAY00066,9416.82,2026-08-02
SET00015,PAY00016,37313.5,2026-06-12
SET00271,PAY00304,400.82,2026-06-21
SET00113,PAY00123,204.82,2026-07-03
SET00506,PAY00584,798.7,2026-08-16
SET00322,PAY00360,6811.0,2026-08-12
SET00311,PAY00349,5390.0,2026-07-15
SET00420,PAY00481,2528.4,2026-06-14
SET00169,PAY00193,44471.42,2026-06-05
SET00408,PAY00464,498.82,2026-07-21
SET00068,PAY00073,2523.5,2026-08-06
SET00059,PAY00063,1974.7,2026-06-07
SET00112,PAY00122,8937.6,2026-08-16
SET00488,PAY00564,1184.82,2026-08-11
SET00038,PAY00041,35154.31,2026-06-08
SET00160,PAY00183,1249.5,2026-07-18
SET00104,PAY00113,708.26,2026-07-09
SET00219,PAY00247,40547.5,2026-07-23
SET00204,PAY91229,32442.9,2026-07-06
SET00297,PAY00333,2331.42,2026-06-09
SET00011,PAY00012,1416.1,2026-06-17
SET00102,PAY00111,861.42,2026-06-09
SET00377,PAY00423,6325.41,2026-08-24
SET00556,PAY00639,792.82,2026-07-04
SET00355,PAY00400,1724.8,2026-06-24
SET00143,PAY00161,5145.0,2026-07-29
SET00281,PAY00314,28752.22,2026-06-26
SET00285,PAY00319,6565.02,2026-07-20
SET00028,PAY00029,7525.42,2026-08-14
SET00261,PAY00294,4356.1,2026-06-27
SET00046,PAY00049,1616.02,2026-06-30
SET00131,PAY00144,509.6,2026-07-15
SET00566,PAY00650,1184.82,2026-07-26
SET00054,PAY00057,27106.8,2026-06-23
SET00484,PAY00559,31683.4,2026-07-13
SET00082,PAY00089,959.42,2026-07-26
SET00092,PAY93770,12954.62,2026-08-05
SET00074,PAY00080,508.62,2026-08-15
SET00044,PAY00047,1988.42,2026-08-16
SET00378,PAY00424,1793.4,2026-07-05
SET00419,PAY00480,220.5,2026-06-17
SET00405,PAY00460,13617.1,2026-08-08
SET00081,PAY00087,2753.8,2026-07-09
SET00133,PAY00146,37366.42,2026-08-18
SET00029,PAY00030,45349.5,2026-07-25
SET00524,PAY00604,1723.82,2026-06-15
